state,nodal_district,implementing_district,house_name,member_type,mp_name,sanction_amount,date_of_administrative_approval,work_name,unique_work_number,implementing_agency_name,work_status,date_of_receipt_of_work_proposal_from_mp,unit
Telangana,Jogulamba Gadwal,Jogulamba Gadwal,Lok Sabha,MP,MP_Telangana_02,830089.17,27-08-2025,Street Lighting,TS-MPLADS-0074,Water Supply Department,Under Execution,22-04-2025,Number
Telangana,Kamareddy,Kamareddy,Lok Sabha,MP,MP_Telangana_10,1316033.88,26-09-2025,School Building Repair,TS-MPLADS-0075,Health Department,Sanctioned,24-07-2025,Number
Telangana,Karimnagar,Karimnagar,Lok Sabha,MP,MP_Telangana_02,457792.5,30-12-2024,Public Toilet,TS-MPLADS-0076,District Panchayat,Sanctioned,17-08-2024,Number
Telangana,Khammam,Khammam,Lok Sabha,MP,MP_Telangana_06,1380668.1,28-05-2025,Health Centre Improvement,TS-MPLADS-0077,Health Department,Sanctioned,28-12-2024,Number
Telangana,Komaram Bheem Asifabad,Komaram Bheem Asifabad,Lok Sabha,MP,MP_Telangana_02,648864.69,18-04-2022,School Building Repair,TS-MPLADS-0078,Municipal Administration,In Progress,29-03-2022,Number
Telangana,Mahabubabad,Mahabubabad,Lok Sabha,MP,MP_Telangana_05,676510.46,08-04-2022,Public Toilet,TS-MPLADS-0079,Health Department,In Progress,31-01-2022,Number
Telangana,Mahabubnagar,Mahabubnagar,Lok Sabha,MP,MP_Telangana_09,533719.27,18-11-2022,Street Lighting,TS-MPLADS-0080,Water Supply Department,Under Execution,08-10-2022,Number
Telangana,Mancherial,Mancherial,Lok Sabha,MP,MP_Telangana_06,754988.31,09-09-2025,Public Toilet,TS-MPLADS-0081,Public Works Department,Sanctioned,07-04-2025,Number
Telangana,Medak,Medak,Lok Sabha,MP,MP_Telangana_08,2004232.05,16-03-2025,Health Centre Improvement,TS-MPLADS-0082,Education Department,Sanctioned,13-12-2024,Number
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri,Lok Sabha,MP,MP_Telangana_04,989732.51,03-01-2024,Bus Shelter,TS-MPLADS-0083,Rural Development Agency,Completed,12-12-2023,Number
Telangana,Mulugu,Mulugu,Lok Sabha,MP,MP_Telangana_11,922450.67,30-06-2024,Drainage Improvement,TS-MPLADS-0084,Local Body,Sanctioned,27-03-2024,Meter
Telangana,Nagarkurnool,Nagarkurnool,Lok Sabha,MP,MP_Telangana_09,645728.57,04-10-2021,Public Toilet,TS-MPLADS-0085,Education Department,Under Execution,11-06-2021,Number
Telangana,Nalgonda,Nalgonda,Lok Sabha,MP,MP_Telangana_12,583872.36,11-02-2022,Bus Shelter,TS-MPLADS-0086,Public Works Department,Sanctioned,22-08-2021,Number
Telangana,Narayanpet,Narayanpet,Lok Sabha,MP,MP_Telangana_10,420787.76,18-02-2025,Street Lighting,TS-MPLADS-0087,Rural Development Agency,In Progress,23-08-2024,Number
Telangana,Nirmal,Nirmal,Lok Sabha,MP,MP_Telangana_02,780772.37,19-10-2023,Bus Shelter,TS-MPLADS-0088,Municipal Administration,Sanctioned,01-10-2023,Number
Telangana,Nizamabad,Nizamabad,Lok Sabha,MP,MP_Telangana_06,778686.63,30-11-2023,Road Improvement,TS-MPLADS-0089,Health Department,Under Execution,01-09-2023,Km
Telangana,Peddapalli,Peddapalli,Lok Sabha,MP,MP_Telangana_06,728572.39,27-12-2024,Health Centre Improvement,TS-MPLADS-0090,Municipal Administration,Under Execution,20-09-2024,Number
Telangana,Rajanna Sircilla,Rajanna Sircilla,Lok Sabha,MP,MP_Telangana_02,1676288.57,13-12-2021,Library Building,TS-MPLADS-0091,Public Works Department,Sanctioned,23-07-2021,Number
Telangana,Rangareddy,Rangareddy,Lok Sabha,MP,MP_Telangana_10,930663.36,28-05-2023,Bus Shelter,TS-MPLADS-0092,Health Department,In Progress,13-12-2022,Number
Telangana,Sangareddy,Sangareddy,Lok Sabha,MP,MP_Telangana_10,769468.85,03-08-2025,Bus Shelter,TS-MPLADS-0093,Water Supply Department,In Progress,08-03-2025,Number
Telangana,Siddipet,Siddipet,Lok Sabha,MP,MP_Telangana_02,1029246.87,21-08-2022,Drainage Improvement,TS-MPLADS-0094,Rural Development Agency,Under Execution,19-06-2022,Meter
Telangana,Suryapet,Suryapet,Lok Sabha,MP,MP_Telangana_05,1511570.12,30-05-2023,Drainage Improvement,TS-MPLADS-0095,Municipal Administration,Sanctioned,15-01-2023,Meter
Telangana,Vikarabad,Vikarabad,Lok Sabha,MP,MP_Telangana_10,2015767.32,21-07-2025,Health Centre Improvement,TS-MPLADS-0096,Municipal Administration,In Progress,11-05-2025,Number
Telangana,Wanaparthy,Wanaparthy,Lok Sabha,MP,MP_Telangana_09,671319.46,15-08-2025,Public Toilet,TS-MPLADS-0097,Public Works Department,Completed,05-08-2025,Number
Telangana,Warangal,Warangal,Lok Sabha,MP,MP_Telangana_08,595168.19,24-05-2025,School Building Repair,TS-MPLADS-0098,Public Works Department,Sanctioned,16-12-2024,Number
Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,Lok Sabha,MP,MP_Telangana_01,1107015.66,22-06-2024,Road Improvement,TS-MPLADS-0099,Health Department,Under Execution,12-03-2024,Km
Telangana,Adilabad,Adilabad,Lok Sabha,MP,MP_Telangana_06,454401.86,08-11-2022,Street Lighting,TS-MPLADS-0100,Rural Development Agency,In Progress,18-05-2022,Number
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem,Lok Sabha,MP,MP_Telangana_10,548905.72,24-08-2025,Drainage Improvement,TS-MPLADS-0101,Public Works Department,Under Execution,11-04-2025,Meter
Telangana,Hanamkonda,Hanamkonda,Lok Sabha,MP,MP_Telangana_04,822102.72,09-06-2025,Road Improvement,TS-MPLADS-0102,Rural Development Agency,Completed,03-02-2025,Km
Telangana,Hyderabad,Hyderabad,Lok Sabha,MP,MP_Telangana_08,524787.07,09-09-2025,Public Toilet,TS-MPLADS-0103,Education Department,Completed,26-08-2025,Number
Telangana,Jagtial,Jagtial,Lok Sabha,MP,MP_Telangana_01,390712.68,08-08-2025,Public Toilet,TS-MPLADS-0104,Public Works Department,Completed,05-03-2025,Number
Telangana,Jangaon,Jangaon,Lok Sabha,MP,MP_Telangana_03,871264.73,07-01-2025,Library Building,TS-MPLADS-0105,District Panchayat,Sanctioned,13-08-2024,Number
Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally,Lok Sabha,MP,MP_Telangana_01,2005306.21,13-03-2021,Health Centre Improvement,TS-MPLADS-0106,Water Supply Department,Sanctioned,03-03-2021,Number
Telangana,Jogulamba Gadwal,Jogulamba Gadwal,Lok Sabha,MP,MP_Telangana_03,662787.71,16-03-2025,Health Centre Improvement,TS-MPLADS-0107,Municipal Administration,Completed,24-09-2024,Number
Telangana,Kamareddy,Kamareddy,Lok Sabha,MP,MP_Telangana_12,535839.47,16-03-2025,Public Toilet,TS-MPLADS-0108,Water Supply Department,Sanctioned,23-09-2024,Number
Telangana,Karimnagar,Karimnagar,Lok Sabha,MP,MP_Telangana_01,763906.94,18-02-2025,Library Building,TS-MPLADS-0109,Rural Development Agency,Completed,25-11-2024,Number
Telangana,Khammam,Khammam,Lok Sabha,MP,MP_Telangana_09,516384.91,17-08-2023,Public Toilet,TS-MPLADS-0110,Rural Development Agency,Under Execution,08-05-2023,Number
Telangana,Komaram Bheem Asifabad,Komaram Bheem Asifabad,Lok Sabha,MP,MP_Telangana_09,439695.66,16-02-2022,Street Lighting,TS-MPLADS-0111,Rural Development Agency,In Progress,21-09-2021,Number
Telangana,Mahabubabad,Mahabubabad,Lok Sabha,MP,MP_Telangana_12,431521.27,28-07-2024,Road Improvement,TS-MPLADS-0112,Education Department,Completed,21-04-2024,Km
Telangana,Mahabubnagar,Mahabubnagar,Lok Sabha,MP,MP_Telangana_01,668609.38,24-11-2023,Road Improvement,TS-MPLADS-0113,Public Works Department,Sanctioned,14-11-2023,Km
Telangana,Mancherial,Mancherial,Lok Sabha,MP,MP_Telangana_02,497733.39,03-01-2022,Street Lighting,TS-MPLADS-0114,Public Works Department,Under Execution,22-10-2021,Number
Telangana,Medak,Medak,Lok Sabha,MP,MP_Telangana_10,842319.37,01-06-2023,Drainage Improvement,TS-MPLADS-0115,Water Supply Department,Sanctioned,19-02-2023,Meter
Telangana,Medchal-Malkajgiri,Medchal-Malkajgiri,Lok Sabha,MP,MP_Telangana_12,532165.48,26-10-2021,Street Lighting,TS-MPLADS-0116,Public Works Department,Sanctioned,04-09-2021,Number
Telangana,Mulugu,Mulugu,Lok Sabha,MP,MP_Telangana_08,1329425.43,27-05-2024,Drainage Improvement,TS-MPLADS-0117,Municipal Administration,Completed,04-04-2024,Meter
Telangana,Nagarkurnool,Nagarkurnool,Lok Sabha,MP,MP_Telangana_05,1187712.01,19-09-2023,Street Lighting,TS-MPLADS-0118,Municipal Administration,Completed,15-05-2023,Number
Telangana,Nalgonda,Nalgonda,Lok Sabha,MP,MP_Telangana_04,2186165.65,03-02-2022,Health Centre Improvement,TS-MPLADS-0119,Education Department,In Progress,16-08-2021,Number
Telangana,Narayanpet,Narayanpet,Lok Sabha,MP,MP_Telangana_08,781291.41,22-01-2024,Bus Shelter,TS-MPLADS-0120,Municipal Administration,In Progress,05-11-2023,Number
Telangana,Nirmal,Nirmal,Lok Sabha,MP,MP_Telangana_08,676323.05,25-06-2022,Library Building,TS-MPLADS-0121,Local Body,Completed,05-01-2022,Number
Telangana,Nizamabad,Nizamabad,Lok Sabha,MP,MP_Telangana_06,12370682.799999999,14-03-2023,School Building Repair,TS-MPLADS-0122,Rural Development Agency,Sanctioned,13-12-2022,Number
Telangana,Peddapalli,Peddapalli,Lok Sabha,MP,MP_Telangana_09,724212.16,08-12-2023,Drinking Water Facility,TS-MPLADS-0123,Education Department,Sanctioned,20-08-2023,Number
Telangana,Rajanna Sircilla,Rajanna Sircilla,Lok Sabha,MP,MP_Telangana_10,725568.97,12-08-2022,Public Toilet,TS-MPLADS-0124,Municipal Administration,In Progress,22-06-2022,Number
Telangana,Rangareddy,Rangareddy,Lok Sabha,MP,MP_Telangana_05,973086.2,09-03-2024,Drainage Improvement,TS-MPLADS-0125,Water Supply Department,Sanctioned,01-12-2023,Meter
Telangana,Sangareddy,Sangareddy,Lok Sabha,MP,MP_Telangana_12,882289.86,18-03-2025,Drainage Improvement,TS-MPLADS-0126,Health Department,Sanctioned,15-02-2025,Meter
Telangana,Siddipet,Siddipet,Lok Sabha,MP,MP_Telangana_04,890727.74,11-11-2024,School Building Repair,TS-MPLADS-0127,Public Works Department,In Progress,21-09-2024,Number
Telangana,Suryapet,Suryapet,Lok Sabha,MP,MP_Telangana_01,1023446.15,04-08-2021,Road Improvement,TS-MPLADS-0128,Water Supply Department,Completed,16-07-2021,Km
Telangana,Vikarabad,Vikarabad,Lok Sabha,MP,MP_Telangana_05,628316.97,07-08-2022,Road Improvement,TS-MPLADS-0129,Health Department,In Progress,23-04-2022,Km
Telangana,Wanaparthy,Wanaparthy,Lok Sabha,MP,MP_Telangana_01,348729.36,26-11-2024,Road Improvement,TS-MPLADS-0130,Health Department,Under Execution,16-06-2024,Km
Telangana,Warangal,Warangal,Lok Sabha,MP,MP_Telangana_02,466431.69,02-02-2023,Street Lighting,TS-MPLADS-0131,Health Department,Completed,25-09-2022,Number
Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,Lok Sabha,MP,MP_Telangana_12,2099679.55,17-12-2022,Drainage Improvement,TS-MPLADS-0132,Public Works Department,Under Execution,13-09-2022,Meter
Telangana,Adilabad,Adilabad,Lok Sabha,MP,MP_Telangana_09,347440.78,01-11-2022,Street Lighting,TS-MPLADS-0133,Water Supply Department,In Progress,13-06-2022,Number
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem,Lok Sabha,MP,MP_Telangana_01,1978318.52,01-03-2024,Health Centre Improvement,TS-MPLADS-0134,Water Supply Department,Sanctioned,26-12-2023,Number
Telangana,Hanamkonda,Hanamkonda,Lok Sabha,MP,MP_Telangana_02,821527.2,13-02-2022,Street Lighting,TS-MPLADS-0135,Local Body,Under Execution,06-10-2021,Number
Telangana,Hyderabad,Hyderabad,Lok Sabha,MP,MP_Telangana_11,16758402.5,17-09-2023,Health Centre Improvement,TS-MPLADS-0136,Health Department,Completed,04-08-2023,Number
Telangana,Jagtial,Jagtial,Lok Sabha,MP,MP_Telangana_05,1497662.32,05-07-2023,Drainage Improvement,TS-MPLADS-0137,Water Supply Department,Under Execution,02-02-2023,Meter
Telangana,Jangaon,Jangaon,Lok Sabha,MP,MP_Telangana_06,616748.1,09-04-2023,Road Improvement,TS-MPLADS-0138,District Panchayat,Completed,08-01-2023,Km
Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally,Lok Sabha,MP,MP_Telangana_01,693714.96,08-09-2025,School Building Repair,TS-MPLADS-0139,Municipal Administration,In Progress,23-03-2025,Number
Telangana,Jogulamba Gadwal,Jogulamba Gadwal,Lok Sabha,MP,MP_Telangana_08,1081446.64,10-10-2023,Community Hall,TS-MPLADS-0140,Rural Development Agency,Completed,14-04-2023,Number
Telangana,Kamareddy,Kamareddy,Lok Sabha,MP,MP_Telangana_11,1308661.19,21-07-2022,School Building Repair,TS-MPLADS-0141,Education Department,Sanctioned,19-02-2022,Number
Telangana,Karimnagar,Karimnagar,Lok Sabha,MP,MP_Telangana_10,644268.48,08-07-2024,Street Lighting,TS-MPLADS-0142,Health Department,In Progress,14-02-2024,Number
